Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Evidence (Verbatim),Source Document,Line Reference
57,Red Dot Design Award for 'Iris' Residential AC Concept,Voltas won the Red Dot Design Award for the design concept of the 'Iris' residential AC — international design recognition,positive,FY25,Informational,"The Red Dot award is a globally recognized product design accolade — winning it for a residential AC concept signals Voltas's capability to compete on design aesthetics, an increasingly important purchase driver in premium AC segments where Japanese and Korean brands have traditionally dominated","Won the Red Dot Design Award for Design Concept of Residential Air Conditioner, 'Iris'",Annual Report FY25,Section 5f
58,#1 Most Desired and Most Trusted AC Brand — TRA 2024,Voltas ranked as India's #1 Most Desired AC Brand and India's Most Trusted AC Brand in TRA Brand Trust Report 2024,positive,FY25,Informational,"Despite market share erosion in RAC, Voltas retains top brand equity rankings in both desirability and trust — this brand strength is a valuable asset that represents latent demand if distribution and pricing gaps can be closed","Ranked as the #1 Most Desired AC Brand | Recognised as India's Most Trusted AC Brand in TRA's Brand Trust Report 2024",Annual Report FY25,Section 10
59,Customer Satisfaction Index of Over 90%,Voltas reports a CSI above 90% — signaling strong post-purchase service satisfaction across India's largest AC installed base,positive,FY25,Informational,"A 90%+ CSI across 2.5M+ annual AC sales establishes Voltas as a benchmark in after-sales responsiveness — this is a loyalty driver that creates upgrade cycle retention; however, without NPS or cost-per-service-call data, the efficiency of achieving this satisfaction cannot be assessed","Customer Satisfaction Index of over 90%",Annual Report FY25,Section 5f / Section 10
60,Q1 FY25 Record — 67% Volume Growth and Rs 5,001 Cr Revenue,Q1 FY25 delivered record 67% volume growth and Rs 5,001 Cr total income — a landmark quarter that sets the FY25 base,positive,FY25,Informational,"The Q1 FY25 performance (67% volume growth, Rs 452 Cr PBT, +123% YoY) represents the zenith of Voltas's recent operational performance — it validates the business's potential and serves as the reference point for what effective summer execution can deliver","67% volume growth in Q1 FY25; total income Rs 5,001 Cr (+46%); PBT Rs 452 Cr (+123%)",Q1 FY25 Transcript,Section 1
61,Working Capital Days Not Disclosed — Directional Deterioration Implied,Working capital days not separately disclosed but directional deterioration is implied by the Rs 986 Cr adverse swing in operating cash flow,not_disclosed,FY25,Informational,"The operating cash flow deterioration from +Rs 762 Cr to -Rs 224 Cr indicates significant working capital build-up (inventory and receivables) but without disclosed DSO/DIO/DPO data it is impossible to pinpoint whether the issue is channel over-stocking, dealer credit extension, or raw material hoarding ahead of BEE transition","Working capital days — NOT DISCLOSED explicitly | Directionally negative (cash flow data indicates deterioration)",Evidence Gaps Table,Section Evidence Gaps
62,SCALE Awards 2024 — 'Exemplary' Supply Chain Position,Voltas recognized with 'Exemplary' position at SCALE Awards 2024 and named top supply chain performer by ISCM,positive,FY25,Informational,"Supply chain excellence recognition validates Voltas's investment in logistics infrastructure and partner management — particularly relevant given the 29,000-counter distribution tracking system and the pin-code-level network acquisition plan","Recognised with 'Exemplary' Position at SCALE Awards 2024; top supply chain performer at ISCM",Annual Report FY25,Section 5f
63,Voltbek Leading Dishwasher Brand on E-Commerce,Voltbek became the leading dishwasher brand on e-commerce platforms — a niche but meaningful channel leadership signal,positive,FY25,Informational,"Dishwasher e-commerce leadership is a niche win but validates the Voltbek omnichannel strategy and the brand's ability to compete on digital platforms against established international players — a building block for broader appliance category wins","Became the leading dishwasher brand on e-commerce platforms",Annual Report FY25,Section 5e / Section 8
64,TMD — India's Largest Textile Solutions Provider,Voltas's Engineering Products division includes TMD — India's largest textile machinery distributor with multi-year recurring revenue,positive,FY25,Informational,"TMD's market leadership in textile machinery provides stable recurring revenue (spare parts, servicing) that is independent of consumer cooling cycles — a diversification benefit often underweighted in Voltas's valuation given the RAC-centric analyst narrative","TMD: India's largest Textile Solutions provider",Annual Report FY25,Section 11
65,Africa Mining Expansion — Multi-Year Contract Extensions in Mozambique,M&CE (Mining & Construction Equipment) expanded footprint in Africa with multi-year contract extensions in Mozambique,positive,FY25,Informational,"Africa mining expansion represents a long-duration revenue stream (multi-year contracts) in a geography with growing mining activity — provides geographic diversification beyond India and GCC, though scale relative to Rs 15,737 Cr consolidated revenue is likely small","M&CE: Expanded footprint in Africa; multi-year contract extensions in Mozambique",Annual Report FY25,Section 11
66,Voltbek Semi-Automatic WM at #2 Position with 15.3% Share,Voltbek is the second-largest player in semi-automatic washing machines with 15.3% YTD share — a strong position in a mass-market segment,positive,FY25,Informational,"Semi-automatic WM is a high-volume mass-market segment where price-value positioning and distribution coverage drive share; a 15.3% YTD share and #2 position validates Voltbek's product-market fit in this category and provides a platform for premiumization over time","Semi-automatic washing machine segment: second-largest player with share of 15.3% YTD",Annual Report FY25,Section 8
67,Pre-Buying in December 2025 — Positive Early Q4 Signal,December 2025 pre-buying of old-table inventory described as 'very positive' with no January decline visible — early indicator of demand health,positive,Q4 FY26,Informational,"Management expressed 'very pleasantly happy' surprise at December pre-buying — if this translates to strong channel sell-through before mid-March, the old-table inventory clearance will be less margin-dilutive than feared and positions Voltas well for new-table product launches","The pre-buying in December actually was in a way a very positive thing for us. We were very pleasantly happy with the result | As of now, we are not seeing any decline in our numbers",Mukundan Menon; Q3 FY26 Transcript,Section 6b
68,Chiller Products — Best-in-Class Energy Efficiency Claim,Management claims Voltas offers 'probably the most energy efficient products' in both Screw and Centrifugal Chiller categories — differentiated data center positioning,positive,FY26,Informational,"Best-in-class energy efficiency in Screw and Centrifugal Chillers is a defensible product advantage for data center customers where TCO (Total Cost of Ownership) is energy-dominated — if this claim can be substantiated with third-party data, it becomes a compelling single-source vendor argument for MEP + chiller bundling","We probably offer the best energy efficient products in the Screw category... also the best energy efficient products in the Centrifugal category",Mukundan Menon; Q3 FY26 Transcript,Section 2
69,Institutional Sales to Banks and Builders — Growing Channel,Institutional sales to banks and builders described as 'making very good progress' — a channel with large-volume, multi-unit purchase decisions,positive,FY26,Informational,"Institutional bulk sales (banks for branch cooling, builders for residential project kits) offer higher per-transaction volume at potentially more predictable order timing vs retail — a favorable channel to develop during periods of retail market share pressure","Institutional sales: banks, builders — making very good progress",Mukundan Menon; Q3 FY26 Transcript,Section 6c
70,Waghodia Commercial Refrigeration Plant Commenced — Capacity Addition,New Waghodia CR plant commenced operations in FY25 — adding manufacturing capacity in the highest-market-share product category,positive,FY25,Informational,"Adding manufacturing capacity in Commercial Refrigeration — where Voltas holds 35-60% market shares — demonstrates commitment to defending and growing the most profitable and defensible segment in the UCP portfolio","Started commercial operations of new Commercial Refrigeration plant at Waghodia",Annual Report FY25,Section 3
